,price,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,amenities_length
0,1413,160139,Central & Western,22.283516486155428,114.15017721985664,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,103,97.0,10.0,1.14,27
1,432,532909,Islands,22.200223996029006,114.13460854409271,Other,Entire home/apt,1,1.0,1.0,1.0,Real Bed,2,80.0,8.0,0.63,33
2,855,304876,Central & Western,22.284073896149422,114.15569563226877,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,229,88.0,9.0,2.66,11
3,1060,304876,Central & Western,22.288678844982492,114.14494426887484,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,153,88.0,8.0,1.8,13
4,942,654642,Central & Western,22.28343470605211,114.15539201543848,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,27,97.0,10.0,0.32,11
5,698,304876,Central & Western,22.286510725809478,114.14874342866396,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,176,84.0,9.0,2.1,18
6,777,304876,Central & Western,22.28694433748112,114.14855130064541,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,182,85.0,9.0,2.16,17
7,1578,530880,Islands,22.303881924388968,114.00887494506823,Apartment,Entire home/apt,8,1.0,2.0,6.0,Real Bed,86,90.0,9.0,1.05,34
8,895,1300549,Central & Western,22.28290540403561,114.15136548845771,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,136,97.0,9.0,1.67,21
9,1954,1321952,Central & Western,22.285357919330803,114.1500428814884,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,18,91.0,10.0,0.22,19
10,1319,1375696,Wan Chai,22.276260135459506,114.17292694108141,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,66,95.0,9.0,0.82,20
12,1083,1435069,Wan Chai,22.279399884482327,114.17117922634516,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,194,95.0,9.0,2.43,12
13,903,1443229,Central & Western,22.283593390690164,114.13138050818077,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,39,92.0,9.0,0.49,13
14,1554,1452499,Wan Chai,22.279376716931864,114.17368112272705,Apartment,Entire home/apt,10,2.0,3.0,6.0,Real Bed,192,87.0,9.0,2.4,14
15,942,1443229,Yuen Long,22.46662457800921,113.98315629426556,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,28,88.0,8.0,0.37,32
16,1020,1443229,Eastern,22.28382203808877,114.19262382232866,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,69,88.0,10.0,0.86,15
17,628,1469210,Central & Western,22.2831708432829,114.15028474440071,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,22,92.0,10.0,0.28,14
18,785,1505903,Central & Western,22.28113632563177,114.15306040851496,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,47,91.0,10.0,0.85,11
19,1107,1576511,Central & Western,22.282223199573075,114.15447639789869,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,20,98.0,10.0,0.25,9
20,1005,1375696,Wan Chai,22.27598989041941,114.17976489612019,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,15,86.0,9.0,0.2,17
21,2260,1375696,Wan Chai,22.277106596351448,114.17771503477829,Apartment,Entire home/apt,10,3.0,3.0,6.0,Real Bed,90,94.0,9.0,1.18,18
22,1789,1375696,Wan Chai,22.278156146689867,114.17633577765386,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,60,95.0,10.0,0.78,21
23,1162,1529119,Wan Chai,22.27908573771492,114.17204755812243,Apartment,Entire home/apt,5,2.0,3.0,4.0,Real Bed,201,86.0,9.0,3.12,17
